objid,pid1,photoZ1,photoZ_err1,schlegelZ1,schlegelZ_err1,absMagR1,u1,g1,r1,i1,z1,pid2,photoZ2,photoZ_err2,schlegelZ2,schlegelZ_err2,absMagR2,u2,g2,r2,i2,z2
1237663239272202585,1237663239272202586,0.366251,0.105852,null,null,-20.6358,21.34584,21.15712,21.3985,20.86054,21.1341,1237663239272202585,0.198027,0.141783,null,null,-18.4049,21.34584,21.15712,21.3985,20.86054,21.1341
1237663239272202586,1237663239272202586,0.366251,0.105852,null,null,-20.6358,23.18255,21.78502,20.82233,20.52954,20.31835,1237663239272202586,0.366251,0.105852,null,null,-20.6358,23.18255,21.78502,20.82233,20.52954,20.31835
1237663239272267940,1237663239272267965,0.966901,0.09384,null,null,-21.4331,22.57147,23.42407,21.88709,21.42294,20.5118,1237663239272267931,-9999,-9999,null,null,-21.1033,22.57147,23.42407,21.88709,21.42294,20.5118
1237663239272661500,1237663239272661500,0.388751,0.066561,null,null,-21.2903,21.69354,21.16336,20.12947,19.74462,19.33887,1237663239272661500,0.388751,0.066561,null,null,-21.2903,21.69354,21.16336,20.12947,19.74462,19.33887
1237663239273120262,1237663239273120262,0.295451,0.038703,null,null,-22.0529,20.98985,20.05751,19.03454,18.60346,18.28478,1237663239273120262,0.295451,0.038703,null,null,-22.0529,20.98985,20.05751,19.03454,18.60346,18.28478
1237663239277839005,1237663239277839005,0.482468,0.16572,null,null,-21.7454,23.09953,21.59427,20.83662,20.20307,20.00411,1237663239277839005,0.482468,0.16572,null,null,-21.7454,23.09953,21.59427,20.83662,20.20307,20.00411
1237663239277904564,1237663239277904564,0.5127,0.176205,null,null,-21.1112,23.76545,22.45821,21.79477,21.30916,21.29795,1237663239277904564,0.5127,0.176205,null,null,-21.1112,23.76545,22.45821,21.79477,21.30916,21.29795
1237663239278363173,1237663239278363173,0.419192,0.081941,null,null,-22.0882,21.8949,21.23417,20.12058,19.56831,19.09967,1237663239278363173,0.419192,0.081941,null,null,-22.0882,21.8949,21.23417,20.12058,19.56831,19.09967
1237663239278363521,1237663239278363173,0.419192,0.081941,null,null,-22.0882,25.23638,23.4108,22.0841,21.19746,20.74349,1237663239278363173,0.419192,0.081941,null,null,-22.0882,25.23638,23.4108,22.0841,21.19746,20.74349
1237663239278363524,1237663239278362735,-9999,-9999,null,null,-18.6582,26.04716,23.30088,21.3096,20.53623,20.23558,1237663239278362735,-9999,-9999,null,null,-18.6582,26.04716,23.30088,21.3096,20.53623,20.23558
1237663239278756542,1237663239278756542,0.36161,0.079177,null,null,-19.871,23.79167,23.44985,21.83803,21.34035,20.37802,1237663239278756542,0.36161,0.079177,null,null,-19.871,23.79167,23.44985,21.83803,21.34035,20.37802
