objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237671932820258897,165.238130050404,10.5079871948892,DOUBLE,"[(33, 17)(58, 27)]",DOUBLE,"[(33, 17)(58, 27)]",DOUBLE,"[(33, 17)(58, 27)]",DOUBLE,"[(33, 17)(58, 27)]"
1237661812803174532,165.028640944662,11.773251390632,NO_PEAK,"[]",DOUBLE,"[(50, 50)(41, 49)]",DOUBLE,"[(50, 50)(41, 48)]",DOUBLE,"[(50, 50)(41, 49)]"
1237661949709058243,164.859809295212,11.5904946830877,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(61, 62)]"
1237661948635381828,164.981985569001,10.7905199107213,SINGLE,"[(50, 49)]",SINGLE,"[(50, 49)]",DOUBLE,"[(47, 53)(50, 49)]",SINGLE,"[(47, 53)]"
1237664819819053148,167.725928411412,36.8983940632221,NO_PEAK,"[]",DOUBLE,"[(50, 50)(67, 38)]",DOUBLE,"[(50, 50)(67, 38)]",NO_PEAK,"[]"
1237664339323650138,167.880336359209,37.1872382742137,DOUBLE,"[(50, 52)(52, 47)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(37, 46)]"
1237664339323584586,167.64659713515,37.2028084725574,DOUBLE,"[(50, 50)(58, 40)]",SINGLE,"[(3, 35)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237664337712906366,167.656989504019,35.9722124816202,DOUBLE,"[(49, 51)(52, 66)]",DOUBLE,"[(50, 50)(53, 66)]",DOUBLE,"[(53, 66)(50, 50)]",DOUBLE,"[(53, 66)(50, 50)]"
1237664337712971848,167.954120462368,35.8680280190312,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(48, 67)]",DOUBLE,"[(50, 50)(47, 67)]"
1237664337712906260,167.62690366165,35.9439292484712,DOUBLE,"[(47, 56)(50, 50)]",DOUBLE,"[(50, 49)(47, 56)]",DOUBLE,"[(50, 49)(47, 56)]",SINGLE,"[(50, 49)]"
1237664819818987565,167.555210818182,36.9665402769084,SINGLE,"[(17, 39)]",DOUBLE,"[(50, 50)(17, 40)]",DOUBLE,"[(50, 49)(17, 39)]",DOUBLE,"[(50, 50)(17, 39)]"
1237664818745049235,167.195476770993,36.1132912696046,NO_PEAK,"[]",SINGLE,"[(31, 42)]",DOUBLE,"[(36, 47)(31, 41)]",DOUBLE,"[(51, 49)(36, 47)]"
1237664338249711728,167.356964266063,36.3733497594589,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 49)]",DOUBLE,"[(51, 50)(70, 99)]"
1237664819818791189,167.054875721898,36.9637459571986,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(49, 50)(51, 66)]"
