index,objid,ra,dec
11095,1237663783660683729,0.339217756232657,-0.312151815477512
11096,1237663278464762954,0.339238540888942,0.872945993407599
11178,1237678617417941437,0.225292426229373,1.23324060713372
11184,1237663275780407732,0.225400530335776,-1.09088949477637
11241,1237663783123747335,0.226473633858641,-0.730437420683059
11250,1237678617417941439,0.226609758693598,1.2396033817816
11252,1237663783123747330,0.226668371438228,-0.800988512470354
11278,1237657191979091104,0.357416973875957,0.763622699088885
11328,1237657191979025126,0.198604320370976,0.783372186407821
11332,1237663783123747631,0.198674032208007,-0.738303422142683
11421,1237663278464763118,0.349950024211154,0.872461461612672
11423,1237663784197555172,0.349959058727253,0.0485662649576522
11437,1237663783660683763,0.350243197616946,-0.298307205771691
11439,1237657192515961061,0.350289043753833,1.09271174035504
11451,1237663783660683765,0.350592848749384,-0.318422891097645
11476,1237663278464697398,0.0972799289345119,0.90611395654878
11491,1237663784197423723,0.097572439010607,0.164821300722621
11503,1237657191979025599,0.0977413431414789,0.818510918002555
11527,1237663783123747824,0.229278747627218,-0.758198110939309
11605,1237657189831541767,0.23104662052873,-0.885533174320066
11629,1237663278464763013,0.36417915660067,1.03695745587768
11637,1237657189831607143,0.364279498676183,-1.02420123682776
11706,1237657189831541041,0.227319253248652,-0.877905710983029
11711,1237663277927891286,0.227385294302962,0.628575923884169
11737,1237663783123747823,0.227966244816409,-0.751916698697351
11744,1237657189831541910,0.228118281209618,-0.890701230115168
11745,1237657189831541042,0.228141992532017,-0.879974988200923
11754,1237663275780407590,0.228315128803899,-1.09140980803498
11783,1237663277927891287,0.229206974890673,0.628494175296197
11794,1237663278464762670,0.354935196803211,1.02261332902592
11802,1237657189831607278,0.355205757808278,-1.02122462547396
11839,1237657189831606826,0.355904867575191,-1.04210003313118
11855,1237657189831541731,0.213470081606033,-0.917070888686329
11868,1237657192515896148,0.213690315870963,1.11355362232175
11877,1237657192515896149,0.214000697818619,1.10522056646647
11997,1237657191979090626,0.346521520383078,0.674315829510205
12043,1237657191979024797,0.208105264278117,0.767207906377018
12165,1237663784197555344,0.352598751654297,0.0469759974600004
12167,1237663783123812821,0.352608469130624,-0.823890020889754
12168,1237663278464762984,0.352659115409693,1.02563584427536
12171,1237663278464762230,0.35268532401156,0.873748282348536
12172,1237663278464762231,0.352686600314257,0.873131986590323
12189,1237657189831607270,0.352968626794222,-1.02928933976518
12346,1237663278464762703,0.362066148411003,0.900340120005306
12370,1237663783660684159,0.362399986775579,-0.399764496010368
12397,1237656906355114861,0.133326329896249,-0.840613781232537
12424,1237666408442496206,0.133759847404974,0.253276349769751
12465,1237657190368412348,0.236970202507564,-0.423294161373239
12466,1237663783123747364,0.237035166589946,-0.740762384129774
12538,1237663783660618778,0.238227671107673,-0.28068557435885
