objid,bands,pid1,pid2
1237662695966834928,i,1237662695966834932,1237662695966834928
1237665231596093919,r,1237665231596093919,1237665231596093920
1237665102223966478,g,1237665102223966478,1237665102223966478
1237668271897640995,r,1237668271897641009,1237668271897640995
1237668298210542768,u,1237668298210542768,1237668298210542997
1237668272434577544,gr,1237668272434577544,1237668272434577544
1237668271897772080,i,1237668271897772080,1237668271897772080
1237668272434577551,g,1237668272434577551,1237668272434577551
1237668273508450456,g,1237668273508450456,1237668273508450458
1237667781230788776,gr,1237667781230788776,1237667781230788776
1237667781230919891,g,1237667781230919891,1237667781230919894
1237668298747871308,g,1237668298747871308,1237668298747871308
1237668272971841836,i,1237668272971841836,1237668272971841836
1237668298747871324,ri,1237668298747871324,1237668298747871324
1237668298211000685,r,1237668298211000685,1237668298211000685
1237668273508778201,r,1237668273508778201,1237668273508778201
1237668273508712546,r,1237668273508712546,1237668273508712546
1237668299284807809,i,1237668299284807809,1237668299284807812
1237668299284938885,ri,1237668299284938885,1237668299284938885
1237668272435363980,g,1237668272435363980,1237668272435363980
1237668298211328019,i,1237668298211328060,1237668298211328060
1237672026782892432,gri,1237672026782892432,1237672026782892432
1237663787951587866,i,1237663787951587866,1237663787951587866
1237663916798968689,i,1237663916798968689,1237663916798968689
1237663916262097382,ri,1237663916262097382,1237663916262097382
1237651251478135988,i,1237651251478135988,1237651251478135988
1237651251478201420,r,1237651251478201420,1237651251478201420
1237651191887102544,i,1237651191887102544,1237651191887102544
1237651191886775289,r,1237651191886775289,1237651191886775289
1237651252014612804,g,1237651252014612804,1237651252014612805
1237651192423580286,i,1237651192423580286,1237651192423580286
1237651192423646020,r,1237651192423646485,1237651192423646485
1237665373333356760,u,1237665373333356760,1237665373333356760
1237665374407164180,ri,1237665374407164180,1237665374407164180
1237665536004587759,gi,1237665536004587759,1237665536004587760
1237665373870293250,i,1237665373870293250,1237665373870293251
1237665536541524188,ugri,1237665536541524188,1237665536541524187
1237665373870358860,gri,1237665373870358860,1237665373870358860
1237665101148455024,gri,1237665101148455024,1237665101148455024
1237665536541524074,i,1237665536541524074,1237665536541524094
1237665536541458661,i,1237665536541458661,1237665536541458661
1237665373870096727,gri,1237665373870096729,1237665373870096727
1237665373870096407,gr,1237665373870096466,1237665373870096407
